,Country,l. Beer
0,Czech Republic,148.6
1,Austria,107.8
2,Germany,106.1
3,Estonia,102.4
4,Poland,98.5
5,Ireland,98.3
6,Croatia,85.9
7,Venezuela,85.5
8,Finland,84.2
9,Romania,83.2
10,Australia,83.1
11,Panama,82.3
12,Slovenia,80.1
13,United States,77.1
14,Bulgaria,76.8
15,Netherlands,75.7
16,Russia,74.1
17,Belgium,74
18,Lithuania,72.5
19,USA,71.3
20,Slovakia,70.3
21,United Kingdom,68.5
22,Spain,68.4
23,Brazil,68.3
24,Canada,66.9
25,Latvia,66.2
26,New Zealand,64.7
27,Angola,64.2
28,Denmark,62.1
29,Ukraine,61.6
30,South Africa,61.1
31,Mexico,59.9
32,Switzerland,58.3
33,Bosnia and Herzegovina,56.1
34,Sweden,52.7
35,Argentina,49
36,Iceland,45
37,Japan,43.5
38,Namibia,40
39,China,32
40,Italy,29
41,Vietnam,19
42,Israel,14
43,Turkey,13
44,Kenya,12
45,Uzbekistan,11
46,Tanzania,8
47,Uganda,6
48,Sri Lanka,2
49,India,2
